Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Interference with NASA satellite Landsat 7,11/9/2011,,Recurring interference with a joint NASA-U.S. Geological Survey satellite in 2007 and 2008,,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,http://www.bloomberg.com/bw/stories/2008-11-19/network-security-breaches-plague-nasa,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
Compromise of Canadian government departments,2/16/2011,,"A threat actor compromised the computer networks of multiple government departments, which led the government to shut down internet access at the affected departments for almost two months.",,"Treasury Board of Canada, Department of Finance, Defense Research and Development Canada",China,Espionage,Government,http://www.cbc.ca/news/politics/foreign-hackers-attack-canadian-government-1.982618,http://www.nytimes.com/2011/02/18/world/americas/18canada.html?_r=0,http://www.bbc.com/news/world-us-canada-12498254
Interference with NASA satellite Terra (EOS AM-1),11/9/2011,,Recurring interference with a NASA observation satellite,,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,https://web.archive.org/web/20111119045231/http://abcnews.go.com/blogs/politics/2011/11/us-satellites-compromised-by-malicious-cyber-activity/,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
Compromise of RSA SecureID tokens,3/19/2011,"This incident is believed to be the work of Unit 61398 and at least two other Chinese groups, according to the New York Times. The threat actor Sneaky Panda may also have assisted.",Threat actors attacked computer security company RSA and compromised millions of SecureID tokens. Linked to the compromise of data from the U.S. F-35 Joint Strike Fighter program at Lockheed Martin.,,RSA,China,Espionage,Private sector,http://bits.blogs.nytimes.com/2011/04/02/the-rsa-hack-how-they-did-it/?_r=0%20,https://web.archive.org/web/20110319214522/http://www.rsa.com/node.aspx?id=3872,https://www.wired.com/2011/08/how-rsa-got-hacked/
Compromise of the U.S. Chamber of Commerce,12/21/2011,,Threat actors compromised the computer networks of the U.S. Chamber of Commerce,Denouncement   http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/,U.S. Chamber of Commerce,China,Espionage,Government,http://www.wsj.com/articles/SB10001424052970204058404577110541568535300,http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/,http://abcnews.go.com/International/chinese-hack-us-chamber-commerce-authorities/story?id=15207642
Denial of service incident against South Korean and U.S. targets,4/9/2011,Believed to be the work of the Lazarus Group,"Dubbed ??en Days of Rain,??this attack was a ten-day denial of service campaign that targeted websites associated with the South Korean government and U.S. military forces in South Korea.",,"South Korea, U.S. Forces Korea",Korea (Democratic People's Republic of),Denial of service,"Government, Military",https://web.archive.org/web/20140602010545/http://blogs.mcafee.com/mcafee-labs/10-days-of-rain-in-korea,https://threatpost.com/mcafee-fingers-north-korea-attacks-south-korean-sites-070611/75398/,http://www.bbc.com/news/technology-12646052
Operation Aurora,1/14/2010,Believed to be the work of PLA Unit 61398 with possible assistance from Sneaky Panda.?Believed to be associated with Winnti Umbrella,"Operation Aurora was a series of cyberattacks from China that targeted U.S. private sector companies in 2010. The threat actors conducted a phishing campaign that compromised the networks of Yahoo, Adobe, Dow Chemical, Morgan Stanley, Google, and more than two dozen other companies to steal their trade secrets. Google was the only company that confirmed it was a victim and disclosed to the public that the Gmail accounts of certain Chinese human rights activists had been compromised. Google also publicly attributed the incident to China, something companies were reluctant to do for fear of jeopardizing their access to the Chinese market. ?

The incident is viewed as a milestone in the recent history of cyber operations because it raised the profile of cyber operations as a tool for industrial espionage. It led Google to cease its operations in China, though it continues to operate a localized version of its search engine in Hong Kong. As a result of the Gmail compromise, Google began notifying users if it believed their accounts had been targeted or compromised by a state-sponsored actor. This practice later spread to other email providers.",Denouncement   http://www.nytimes.com/2010/01/22/world/asia/22diplo.html,"Google, Adobe, Juniper Networks, Rackspace, Yahoo, Symantec, Northtrop Grumman, Morgan Stanley, Dow Chemical",China,Espionage,Private sector,http://www.wired.com/2010/01/operation-aurora/,https://web.archive.org/web/20160417132538/https://kc.mcafee.com/resources/sites/MCAFEE/content/live/CORP_KNOWLEDGEBASE/67000/KB67957/en_US/Combating%20Threats%20-%20Operation%20Aurora.pdf,http://www.washingtonpost.com/wp-dyn/content/article/2010/01/13/AR2010011300359.html
APT 5,3/12/2010,Also known as Manganese,"This threat actor targets telecommunications and technology companies, particularly regional telecommunication providers, high-tech manufacturers, firms specializing in technology with military applications, and Asia-based employees of global tech firms. Believed to have been active since at least 2007, this large threat group consists of several subgroups with distinct tactics and infrastructure.",,,China,Espionage,Civil society,https://www.fireeye.com/content/dam/fireeye-www/current-threats/pdfs/rpt-southeast-asia-threat-landscape.pdf,,
Defacement of Baidu,1/12/2010,,"Threat actors disrupted access to Baidu, China's most popular search engine. A group calling itself the Iran Cyber Army, which could be state sponsored, claims credit for the incident.",,Baidu,Iran (Islamic Republic of),Defacement,Private sector,https://web.archive.org/web/20150909180441/http://news.xinhuanet.com/english/2010-01/12/content_12797829.htm,http://thelede.blogs.nytimes.com/2010/01/12/iranian-cyber-army-strikes-chinese-site/?_r=0,http://news.bbc.co.uk/2/hi/technology/8453718.stm
Compromise of the Indian Prime Minister's Office,1/14/2010,,Threat actors compromised computers in the office of the Indian prime minister.,Denouncement   http://www.thetimes.co.uk/tto/news/world/asia/article2611832.ece,Prime Minister's Office,China,Espionage,Government,http://indiatoday.intoday.in/story/Chinese+hackers+target+PMO/1/79215.html,http://archive.indianexpress.com/news/chinese-hacked-pmo-computers-says-narayanan/569075/,http://www.ndtv.com/india-news/chinese-attempt-to-hack-into-pmo-e-mails-409077
Malware targets Vietnamese users,3/30/2010,,Google announced that botnets and malware were targeting computer users in Vietnam with the intention of muting critics of a controversial government-approved plan that allowed a Chinese company to mine there.,,Vietnamese political activists,Vietnam,Denial of service,Government,https://googleonlinesecurity.blogspot.com/2010/03/chilling-effects-of-malware.html,http://www.itnews.com.au/news/google-finds-botnet-targeting-vietnamese-users-171087,http://www.deseretnews.com/article/700020931/Google-Online-attacks-aimed-at-Vietnams-critics.html?pg=all
Compromise of three Australian mining companies,4/19/2010,,"A threat actor compromised the computer networks of Rio Tinto, BHP Billiton, and Fortescue Metals and exfiltrated data.",,"Rio Tinto, BHP Billiton, Fortescue Metals",China,Espionage,Private sector,http://www.abc.net.au/4corners/content/2010/s2876920.htm,http://www.zdnet.com/article/chinese-cyber-attacks-on-miners-report/,http://www.itnews.com.au/news/abc-fingers-china-over-cyber-attacks-172554
Stuxnet,7/22/2010,Codenamed ??lympic Games??and believed to be the work of the Equation Group,"Believed to have been developed as a joint operation between U.S. and Israeli intelligence services, the Stuxnet malware compromised industrial control systems at the Natanz nuclear material enrichment facility in Iran. Stuxnet was specifically designed to cause centrifuges to fail while providing readings to their operators that they were running normally. Reports indicate that the United States pursued the Stuxnet operation as a way of degrading Iran?? nuclear weapons program without resorting to an airstrike or an attack by special operation forces.

Stuxnet was the first publicly known instance in which a cyber operation caused physical damage outside of a controlled testing environment. It demonstrated the potential effectiveness and value of a cyber weapon. Many experts and former government officials feared that the attack on Natanz would open the door to other states conducting destructive cyberattacks and Stuxnet would represent, in the words of former Director of the National Security Agency Michael Hayden, a moment when ??omebody crossed the Rubicon.??However, nation-states have so far exercised restraint.",Denouncement   http://www.reuters.com/article/us-iran-nuclear-stuxnet-idUSTRE73G0NB20110417,"Iran, Indonesia, India, Azerbaijan, Pakistan, Malaysia, United States, Uzbekistan, Russia, United Kingdom, South Korea, Taiwan","Israel, United States",Sabotage,Military,http://www.symantec.com/connect/blogs/w32stuxnet-network-information,http://www.bbc.com/news/technology-11388018,"http://www.pcmag.com/article2/0,2817,2369745,00.asp"
Night Dragon,1/25/2010,,A threat actor compromised U.S. oil companies through spear phishing and remote administration tools,,"Marathon Oil, ExxonMobil, ConocoPhillips",China,Espionage,Private sector,http://www.mcafee.com/us/resources/white-papers/wp-global-energy-cyberattacks-night-dragon.pdf,http://www.csmonitor.com/USA/2010/0125/US-oil-industry-hit-by-cyberattacks-Was-China-involved,http://www.wired.com/2010/01/hack-for-oil
Shadow Network,4/6/2010,Has links to Lucky Cat and GhostNet,"A cyber threat actor that compromised government, business, academic, and other computer network systems, such as the Office of His Holiness the Dalai Lama and the United Nations, for espionage purposes.",,"National Security Council, Ministry of External Affairs, Institute for Defence Studies and Analyses, United Nations",China,Espionage,"Military, Government",http://www.nartv.org/mirror/shadows-in-the-cloud.pdf,,
Compromise of computers associated with the Joint Strike Fighter program,4/21/2009,Sneaky Panda is among some of the actors suspected to be behind this incident.,"Computers associated with the U.S. Air Force's Joint Strike Fighter (also known as the F-35 Lightning II) project at Lockheed Martin, also known as the were compromised. The similarities between the F-35 and the Chinese J-20 have fueled speculation that the Chinese government may have been behind the compromise.",,U.S. Department of Defense,China,Espionage,Military,http://www.wsj.com/articles/SB124027491029837401#mg%253Dcom-wsj%2526articleTabs%253Darticle,http://www.csmonitor.com/Technology/Horizons/2009/0421/did-hackers-break-into-a-top-secret-usaf-program,http://www.washingtontimes.com/news/2014/mar/13/f-35-secrets-now-showing-chinas-stealth-fighter/?page=all
